名称,所在地,POINT_X,POINT_Y
山下町11,山下町,130.5566513,31.59570743
西別府町上４,西別府町上,130.4885532,31.60050791
西別府町上３,西別府町上,130.4908383,31.5990426
西別府町上１,西別府町上,130.4930442,31.5975153
西別府町上５,西別府町上,130.4883036,31.5945736
西別府町上６,西別府町上,130.4881325,31.59354228
西別府町上７,西別府町上,130.4872832,31.59247716
西別府町上９,西別府町上,130.4960401,31.59394783
西別府町上１０,西別府町上,130.4981735,31.59296716
原良６丁目９３,原良６丁目,130.5293821,31.59953254
原良６丁目９２,原良６丁目,130.5292175,31.59902529
原良６丁目９１,原良６丁目,130.528941,31.59872659
原良６丁目８９,原良６丁目,130.52794,31.59819678
原良５丁目９５,原良５丁目,130.5300276,31.59761631
原良７丁目８５,原良７丁目,130.5267415,31.59723303
原良６丁目５２,原良６丁目,130.5284076,31.59717668
原良５丁目９６,原良５丁目,130.5305742,31.59678782
原良５丁目９７,原良５丁目,130.5309956,31.59656239
原良５丁目９９,原良５丁目,130.5320032,31.59580717
原良５丁目２１,原良５丁目,130.5325629,31.59615097
原良４丁目４５,原良４丁目,130.528816,31.59531118
原良４丁目４６,原良４丁目,130.5278546,31.59488848
原良４丁目４７,原良４丁目,130.5283288,31.59450523
原良４丁目４８,原良４丁目,130.5272094,31.59400363
原良４丁目４１,原良４丁目,130.5309233,31.59488286
原良４丁目３８,原良４丁目,130.5319507,31.59402618
原良2丁目１１,原良2丁目,130.5341696,31.59675968
原良2丁目１０,原良2丁目,130.5349006,31.59664133
原良2丁目１５,原良2丁目,130.5344988,31.59757691
原良１丁目１６,原良１丁目,130.5368826,31.59775171
原良３丁目２６,原良３丁目,130.5323322,31.59844483
原良３丁目２０,原良３丁目,130.5325364,31.59759943
永吉１丁目１２,永吉１丁目,130.5339979,31.60240134
永吉１丁目１３,永吉１丁目,130.535394,31.60255355
永吉１丁目１４,永吉１丁目,130.5370337,31.60262689
永吉１丁目３,永吉１丁目,130.5332275,31.6015052
永吉１丁目１１,永吉１丁目,130.5344129,31.60148831
永吉５,永吉,130.5333067,31.59940297
永吉２,永吉,130.5327141,31.5990817
永吉６,永吉,130.5331026,31.59883372
永吉１,永吉,130.5327602,31.5981574
永吉１丁目７,永吉１丁目,130.5340443,31.59859139
永吉８,永吉,130.5344592,31.59873229
永吉１丁目１７,永吉１丁目,130.5359606,31.59927904
永吉１丁目９,永吉１丁目,130.5349661,31.59991023
永吉１丁目１０,永吉１丁目,130.5350517,31.60014131
永吉１丁目１６,永吉１丁目,130.5369812,31.60003431
永吉１丁目１５,永吉１丁目,130.5376989,31.60102628
永吉２丁目２３,永吉２丁目,130.5329502,31.60869107
永吉２丁目２４,永吉２丁目,130.5326407,31.6084149
永吉２丁目２２,永吉２丁目,130.5334047,31.60826275
永吉２丁目２１,永吉２丁目,130.5333454,31.60789078
永吉２丁目１２,永吉２丁目,130.5339118,31.60771044
甲突町１０,甲突町,130.5592892,31.58152711
永吉２丁目１,永吉２丁目,130.5351499,31.60776683
甲突町１２,甲突町,130.5591772,31.58138622
永吉２丁目１１,永吉２丁目,130.5342938,31.6073272
永吉２丁目２,永吉２丁目,130.5354199,31.60705107
永吉２丁目１０,永吉２丁目,130.5344453,31.60693269
永吉２丁目１３,永吉２丁目,130.534307,31.60673542
永吉２０,永吉,130.5337999,31.60592947
永吉２丁目１４,永吉２丁目,130.5346692,31.60583368
永吉２丁目９,永吉２丁目,130.534847,31.60589568
永吉２丁目３,永吉２丁目,130.5359797,31.60577736
永吉８,永吉,130.5350249,31.60535463
永吉２丁目１９,永吉２丁目,130.531765,31.60543346
永吉２丁目１８,永吉２丁目,130.5336222,31.60505589
甲突町１４,甲突町,130.5591419,31.58095626
永吉２丁目４,永吉２丁目,130.5356571,31.6049714
永吉２丁目１５,永吉２丁目,130.5347483,31.60466703
甲突町６,甲突町,130.5601821,31.58113103
永吉２丁目５,永吉２丁目,130.5355913,31.60430072
永吉２丁目７,永吉２丁目,130.5345969,31.60412598
永吉２丁目６,永吉２丁目,130.5360391,31.60314536
永吉２丁目１６,永吉２丁目,130.5337804,31.60297621
永吉２丁目１７,永吉２丁目,130.5331153,31.6027733
甲突町１８,甲突町,130.5579569,31.58091673
甲突町１９,甲突町,130.557608,31.58106323
甲突町２１,甲突町,130.5588852,31.57994183
甲突町２５,甲突町,130.5588391,31.57954733
甲突町３０,甲突町,130.5592604,31.58029126
甲突町２９,甲突町,130.5593723,31.58056178
甲突町２７,甲突町,130.5595303,31.58080412
甲突町３３,甲突町,130.5608141,31.57998139
甲突町３６,甲突町,130.5612092,31.57916987
甲突町３７,甲突町,130.5601163,31.57855554
錦江町２,錦江町,130.5630066,31.57670154
錦江町３,錦江町,130.5642315,31.57696732
錦江町５,錦江町,130.5643237,31.57603181
錦江町４,錦江町,130.5651663,31.57649396
錦江町６,錦江町,130.5649293,31.57765488
錦江町７,錦江町,130.5656667,31.57669122
錦江町８,錦江町,130.5670031,31.57546269
錦江町１０,錦江町,130.5685305,31.5755529
錦江町１１,錦江町,130.569643,31.57600942
城南町３,城南町,130.5633426,31.58496989
城南町４,城南町,130.5634875,31.58431053
城南町５,城南町,130.5628489,31.58340316
城南町２,城南町,130.5644553,31.58349339
城南町６,城南町,130.5625856,31.58165611
城南町１０,城南町,130.5612096,31.58118266
城南町８,城南町,130.5630201,31.5807206
城南町７,城南町,130.5638036,31.58058538
城南町１５,城南町,130.5609529,31.58030913
城南町１６,城南町,130.5617297,31.57915385
城南町１２,城南町,130.5626909,31.57931168
城南町１４,城南町,130.5632703,31.57865797
城南町１３,城南町,130.5644224,31.57891725
新屋敷町２５,新屋敷町,130.5557631,31.58227633
新屋敷町２７,新屋敷町,130.5553286,31.58233829
新屋敷町２９,新屋敷町,130.5542423,31.58235513
新屋敷町３１,新屋敷町,130.5544135,31.58135199
新屋敷町３８,新屋敷町,130.5531823,31.58313278
新屋敷町３９,新屋敷町,130.5535444,31.58209021
新屋敷町４０,新屋敷町,130.553742,31.58118288
新屋敷町３２,新屋敷町,130.5549797,31.58094063
新屋敷町３４,新屋敷町,130.5560199,31.58079417
新屋敷町３７,新屋敷町,130.5571062,31.58046738
加治屋町１,加治屋町,130.5499824,31.58806379
加治屋町２,加治屋町,130.5494096,31.58779324
加治屋町４７,加治屋町,130.5488829,31.58752269
加治屋町５,加治屋町,130.5509502,31.58803567
加治屋町１３,加治屋町,130.5508383,31.58734247
加治屋町７,加治屋町,130.5487447,31.5869591
加治屋町８,加治屋町,130.5485867,31.58672802
加治屋町１２,加治屋町,130.5491924,31.58650264
加治屋町１４,加治屋町,130.5512795,31.58689163
加治屋町１６,加治屋町,130.551398,31.58637879
加治屋町４３,加治屋町,130.5520762,31.58520662
加治屋町１７,加治屋町,130.5507528,31.58600116
加治屋町１８,加治屋町,130.5498442,31.5854939
加治屋町３８,加治屋町,130.5498179,31.58493033
加治屋町４１,加治屋町,130.5504895,31.58489092
加治屋町４０,加治屋町,130.5508318,31.58508819
加治屋町２４,加治屋町,130.5480534,31.586604
加治屋町２６,加治屋町,130.5484287,31.58649695
加治屋町２８,加治屋町,130.5487118,31.58611374
加治屋町３０,加治屋町,130.5484024,31.58543181
加治屋町３５,加治屋町,130.5485868,31.58473864
加治屋町３３,加治屋町,130.5491332,31.58549385
加治屋町３６,加治屋町,130.5496072,31.58478379
千日町５,千日町,130.5576656,31.58775431
山之口町５,山之口町,130.5530633,31.58912915
山之口町７,山之口町,130.5520692,31.58855987
山之口町２１,山之口町,130.5521661,31.58730299
山之口町２８,山之口町,130.5527785,31.58645767
樋之口町２,樋之口町,130.5533513,31.58662114
樋之口町１,樋之口町,130.5546219,31.58727497
樋之口町６,樋之口町,130.5540097,31.58615906
樋之口町１０,樋之口町,130.5537332,31.58555039
樋之口町９,樋之口町,130.554622,31.58601821
樋之口町８,樋之口町,130.5553067,31.5863902
樋之口町１７,樋之口町,130.556156,31.58669458
樋之口町２２,樋之口町,130.5548919,31.58518979
樋之口町１２,樋之口町,130.5553199,31.58586046
樋之口町１１,樋之口町,130.5560836,31.58623809
樋之口町１８,樋之口町,130.5566366,31.58652555
樋之口町２１,樋之口町,130.5570646,31.58560696
樋之口町１５,樋之口町,130.5563865,31.58529696
樋之口町１６,樋之口町,130.5559651,31.58510532
松原町１４,松原町,130.5577625,31.5859057
松原町９,松原町,130.5584801,31.58764717
松原町７,松原町,130.5587369,31.58755701
松原町６,松原町,130.5592109,31.58760777
松原町４,松原町,130.5602784,31.58736504
松原町２,松原町,130.5602521,31.58793989
松原町１,松原町,130.5597977,31.58863869
松原町３,松原町,130.5596134,31.58830617
南林寺町１,南林寺町,130.5621944,31.58692553
南林寺町２,南林寺町,130.5622602,31.58621544
南林寺町３,南林寺町,130.5614306,31.58710584
南林寺町４,南林寺町,130.5619376,31.58664937
南林寺町６,南林寺町,130.5619969,31.58619852
南林寺町７,南林寺町,130.5615228,31.58613088
南林寺町８,南林寺町,130.5618059,31.58573076
南林寺町１１,南林寺町,130.5610458,31.58580906
南林寺町４２,南林寺町,130.5626457,31.58492996
南林寺町１２,南林寺町,130.561533,31.58560056
南林寺町１３,南林寺町,130.5620202,31.58486231
南林寺町１４,南林寺町,130.5617569,31.58453543
南林寺町１６,南林寺町,130.5597553,31.58598371
南林寺町１７,南林寺町,130.5608812,31.58517786
南林寺町１９,南林寺町,130.5605718,31.58467628
南林寺町２６,南林寺町,130.5581687,31.58494665
南林寺町２５,南林寺町,130.5593867,31.58501435
南林寺町２９,南林寺町,130.5600187,31.58424231
南林寺町３４,南林寺町,130.5603743,31.58369004
南林寺町３３,南林寺町,130.5607561,31.58385349
南林寺町３６,南林寺町,130.5612565,31.58327303
南林寺町４０,南林寺町,130.5613355,31.58221354
南林寺町２４,南林寺町,130.5617832,31.58281657
南林寺町２３,南林寺町,130.5616055,31.58310398
呉服町１,呉服町,130.5570625,31.59024413
船津町５,船津町,130.5573061,31.5893368
永吉３丁目５７,永吉３丁目,130.5326604,31.60525499
永吉３丁目５８,永吉３丁目,130.5284391,31.60489983
永吉３丁目５９,永吉３丁目,130.5298747,31.60447153
永吉３丁目６０,永吉３丁目,130.5306386,31.6048097
永吉３丁目６１,永吉３丁目,130.5317121,31.60451102
永吉３丁目６３,永吉３丁目,130.5313631,31.60392487
永吉３丁目６４,永吉３丁目,130.5320348,31.60365436
永吉３丁目６５,永吉３丁目,130.5321336,31.60333875
永吉３丁目４４,永吉３丁目,130.5326539,31.6026568
永吉３丁目４６,永吉３丁目,130.5326474,31.60123089
小野1丁目１６,小野1丁目,130.5280432,31.61225474
小野１丁目４,小野１丁目,130.5293406,31.61264365
小野１丁目５,小野１丁目,130.528985,31.61162354
小野１丁目６,小野１丁目,130.5295382,31.61119522
小野１丁目１４,小野１丁目,130.5284582,31.6107894
小野１丁目１３,小野１丁目,130.5275494,31.60967346
小野１丁目１２,小野１丁目,130.5295448,31.60989895
小野１丁目２,小野１丁目,130.5311122,31.61124599
小野１丁目１,小野１丁目,130.5316588,31.61089093
小野１丁目８,小野１丁目,130.5308949,31.61018078
小野１丁目１０,小野１丁目,130.5307105,31.6097919
小野１丁目１１,小野１丁目,130.5301244,31.60893522
小野２丁目６８,小野２丁目,130.5271014,31.61330298
小野２丁目６９,小野２丁目,130.5272002,31.61421036
小野２丁目４３,小野２丁目,130.524961,31.61280133
小野２丁目６７,小野２丁目,130.5260147,31.61423287
小野２丁目７０,小野２丁目,130.5258698,31.61499935
小野２丁目７１,小野２丁目,130.5255931,31.61564747
小野２丁目６４,小野２丁目,130.5240125,31.61506693
小野２丁目６３,小野２丁目,130.5234856,31.61595175
小野２丁目６１,小野２丁目,130.5229981,31.61729307
小野２丁目７５,小野２丁目,130.5230903,31.61839207
小野２丁目５７,小野２丁目,130.5209366,31.61805386
小野２丁目５９,小野２丁目,130.5210288,31.6189556
小野２丁目５８,小野２丁目,130.5201463,31.6190063
小野２丁目５６,小野２丁目,130.5197511,31.61739444
小野２丁目５５,小野２丁目,130.518513,31.6173606
小野３丁目４２,小野３丁目,130.5258696,31.6123843
小野３丁目４４,小野３丁目,130.5242297,31.61277314
小野３丁目４５,小野３丁目,130.5232879,31.61288019
小野３丁目４６,小野３丁目,130.5219641,31.61317887
小野３丁目４７,小野３丁目,130.5212463,31.61303232
小野３丁目４８,小野３丁目,130.5204165,31.61260399
小野３丁目４９,小野３丁目,130.5203243,31.61235601
小野３丁目５０,小野３丁目,130.5195933,31.61272796
小野３丁目５４,小野３丁目,130.5180126,31.61536551
小野３丁目５２,小野３丁目,130.517848,31.61392837
小野３丁目３６,小野３丁目,130.517005,31.61279555
小野３丁目５１,小野３丁目,130.5181444,31.61260395
小野３丁目３２,小野３丁目,130.5170116,31.61234468
小野３丁目３５,小野３丁目,130.5143246,31.61394521
小野３丁目３４,小野３丁目,130.5103795,31.61559079
小野４丁目１８,小野４丁目,130.5255208,31.61115003
小野４丁目２０,小野４丁目,130.5244736,31.6108513
小野４丁目２１,小野４丁目,130.5232487,31.61103162
小野４丁目２２,小野４丁目,130.5220632,31.61121195
小野４丁目２３,小野４丁目,130.5211281,31.61095268
小野４丁目２４,小野４丁目,130.5212071,31.61024819
小野４丁目２９,小野４丁目,130.5179473,31.60882791
小野４丁目３０,小野４丁目,130.5172295,31.60787544
小野４丁目３１,小野４丁目,130.5160902,31.60687225
小野４丁目２６,小野４丁目,130.5188956,31.60736259
小野４丁目２７,小野４丁目,130.5183556,31.60608324
小野４丁目２８,小野４丁目,130.5173678,31.6059367
船津町２,船津町,130.5576346,31.58920224
船津町８,船津町,130.5578716,31.58850342
船津町４,船津町,130.5581745,31.58837945
大黒町１,大黒町,130.5586352,31.59142841
大黒町２,大黒町,130.5582929,31.59116351
大黒町３,大黒町,130.5584838,31.59066758
大黒町４,大黒町,130.5592147,31.59041401
大黒町６,大黒町,130.5582995,31.59028997
大黒町７,大黒町,130.557753,31.59027303
新町２,新町,130.5591489,31.58951793
新町３,新町,130.5598402,31.58942217
新町４,新町,130.5595703,31.58893748
新町５,新町,130.5585761,31.58973769
新町６,新町,130.5583259,31.58921355
堀江町３,堀江町,130.558892,31.59135516
堀江町７,堀江町,130.5593003,31.59069581
堀江町２,堀江町,130.5597348,31.59168208
堀江町４,堀江町,130.5597809,31.59127068
堀江町６,堀江町,130.5599784,31.59087055
堀江町１０,堀江町,130.5598139,31.58991247
堀江町１２,堀江町,130.5608937,31.58987307
堀江町１７,堀江町,130.5610912,31.58932641
堀江町１９,堀江町,130.5617299,31.58912355
堀江町２１,堀江町,130.5611308,31.58788931
堀江町２０,堀江町,130.5618287,31.5880415
住吉町２,住吉町,130.560966,31.59231897
住吉町８,住吉町,130.5602615,31.59187373
住吉町４,住吉町,130.5605513,31.59111292
住吉町３,住吉町,130.5613282,31.59130456
住吉町６,住吉町,130.5609069,31.59024503
泉町１７,泉町,130.5588919,31.59213853
泉町１６,泉町,130.5593002,31.59224563
泉町１３,泉町,130.5582598,31.59301766
泉町１０,泉町,130.5588195,31.59346855
泉町９,泉町,130.5587422,31.5937775
泉町８,泉町,130.558301,31.59414379
泉町７,泉町,130.5604081,31.59250955
泉町５,泉町,130.5606912,31.59318021
泉町６,泉町,130.5602368,31.59306185
泉町１１,泉町,130.5597562,31.59335488
名山町１,名山町,130.5605792,31.59454969
名山町１２,名山町,130.557761,31.59445373
名山町１０,名山町,130.5598483,31.59432986
名山町９,名山町,130.5578136,31.5950793
名山町６,名山町,130.5576293,31.59566541
名山町８,名山町,130.5585511,31.59483137
名山町７,名山町,130.5591306,31.59488212
名山町４,名山町,130.5596178,31.5951583
名山町２,名山町,130.559552,31.59555843
名山町３,名山町,130.5588276,31.59582328
易居町１５,易居町,130.560408,31.59605442
易居町１７,易居町,130.5596639,31.59597549
易居町１８,易居町,130.5591832,31.59615017
易居町１０,易居町,130.5605067,31.59666309
易居町１１,易居町,130.5601643,31.59688851
易居町１２,易居町,130.5597429,31.59713083
易居町９,易居町,130.5599865,31.59719283
易居町１３,易居町,130.5592292,31.59738441
易居町１４,易居町,130.5585247,31.59748019
易居町７,易居町,130.5590448,31.59805506
易居町６,易居町,130.5612574,31.59715343
易居町１,易居町,130.5612113,31.59751975
易居町２,易居町,130.5606384,31.59802132
易居町３,易居町,130.5603289,31.59825801
易居町５,易居町,130.5599996,31.59826363
易居町４,易居町,130.5596506,31.59868066
中町７,中町,130.5564375,31.5915907
中町６,中町,130.5561873,31.59194574
中町５,中町,130.5557856,31.59218805
中町２,中町,130.5557066,31.5937886
中町１３,中町,130.5563979,31.59428458
西陵一丁目13,西陵一丁目,130.5138125,31.58107952
西陵一丁目12,西陵一丁目,130.5160708,31.58058353
西陵一丁目11,西陵一丁目,130.5172756,31.58020591
西陵一丁目9,西陵一丁目,130.517664,31.58121808
西陵一丁目10,西陵一丁目,130.5193877,31.58049667
西陵一丁目8,西陵一丁目,130.5178429,31.58357832
西陵一丁目3,西陵一丁目,130.5171385,31.58319511
西陵一丁目5,西陵一丁目,130.5164538,31.58330784
西陵一丁目6,西陵一丁目,130.5157559,31.58302607
西陵一丁目4,西陵一丁目,130.5168356,31.58366852
西陵２丁目1,西陵２丁目,130.5074846,31.57861686
西陵２丁目３,西陵２丁目,130.5099441,31.57692831
西陵２丁目４,西陵２丁目,130.5100889,31.57860325
西陵２丁目８,西陵２丁目,130.5136704,31.57823122
西陵２丁目１０,西陵２丁目,130.5127223,31.5791555
西陵２丁目１２,西陵２丁目,130.5133412,31.57944855
西陵２丁目１４,西陵２丁目,130.5137493,31.5798994
西陵３丁目２,西陵３丁目,130.5138545,31.5829382
西陵３丁目１５,西陵３丁目,130.5131434,31.58489946
西陵３丁目３,西陵３丁目,130.5132093,31.58317492
西陵３丁目４,西陵３丁目,130.5140652,31.582183
西陵３丁目５,西陵３丁目,130.5125114,31.58266771
東千石町１,東千石町,130.5546868,31.5934735
東千石町２,東千石町,130.5540942,31.5932424
東千石町４,東千石町,130.5552465,31.59266762
東千石町１３,東千石町,130.5511445,31.59143315
東千石町１２,東千石町,130.5518161,31.59173752
東千石町１７,東千石町,130.5513157,31.59093721
東千石町１６,東千石町,130.5520202,31.59118523
東千石町１５,東千石町,130.5528235,31.59156287
東千石町１８,東千石町,130.5534197,31.59133401
新照院町１,新照院町,130.5437799,31.59299036
新照院町１９,新照院町,130.5445503,31.59251699
西陵３丁目６,西陵３丁目,130.5127505,31.58197796
西陵３丁目７,西陵３丁目,130.5124345,31.58179762
西陵３丁目１０,西陵３丁目,130.5107841,31.58233146
西陵３丁目１２,西陵３丁目,130.5107972,31.58412363
西陵３丁目１３,西陵３丁目,130.511258,31.58465338
西陵３丁目１４,西陵３丁目,130.5116925,31.58560018
西陵４丁目１,西陵４丁目,130.508506,31.58387798
西陵４丁目２,西陵４丁目,130.5094014,31.58301004
西陵４丁目３,西陵４丁目,130.5091249,31.58278462
西陵４丁目４,西陵４丁目,130.5085456,31.58180402
西陵４丁目５,西陵４丁目,130.50873,31.58124043
西陵４丁目６,西陵４丁目,130.5094673,31.5811277
西陵４丁目７,西陵４丁目,130.5098228,31.58224357
西陵４丁目８,西陵４丁目,130.5105076,31.58099241
西陵４丁目９,西陵４丁目,130.5120877,31.58069931
西陵４丁目１２,西陵４丁目,130.5090461,31.57941443
西陵５丁目４８,西陵５丁目,130.5075107,31.58329866
西陵５丁目３７,西陵５丁目,130.5051538,31.58187852
西陵６丁目３６,西陵６丁目,130.5038424,31.58173203
西陵６丁目３９,西陵６丁目,130.5063706,31.57873373
西陵７丁目２,西陵７丁目,130.5076497,31.58659505
西陵７丁目３,西陵７丁目,130.5080711,31.58587366
西陵７丁目４,西陵７丁目,130.5067412,31.58536648
西陵７丁目５,西陵７丁目,130.5062013,31.58627949
西陵７丁目６,西陵７丁目,130.5050952,31.58617807
西陵７丁目７,西陵７丁目,130.5036731,31.58588506
西陵７丁目１３,西陵７丁目,130.5025275,31.58594145
西陵８丁目１２,西陵８丁目,130.5015795,31.58610378
西陵８丁目１４,西陵８丁目,130.500829,31.58533735
西陵８丁目１７,西陵８丁目,130.500197,31.58451455
西陵８丁目１８,西陵８丁目,130.4994465,31.58427787
西陵８丁目２４,西陵８丁目,130.5001049,31.58295909
西陵８丁目３０,西陵８丁目,130.5021326,31.58338734
明和一丁目１,明和一丁目,130.5303059,31.60026276
明和一丁目４,明和一丁目,130.5292785,31.60201553
明和一丁目５,明和一丁目,130.5286265,31.60278201
明和１丁目８,明和１丁目,130.5267497,31.6027707
明和１丁目１１,明和１丁目,130.526549,31.60236325
明和１丁目１２,明和１丁目,130.5260156,31.60159112
明和１丁目１７,明和１丁目,130.5236015,31.60081331
明和１丁目１８,明和１丁目,130.5242402,31.60113457
明和１丁目２１,明和１丁目,130.5244575,31.60227642
明和１丁目２４,明和１丁目,130.5240426,31.60233277
明和１丁目２８,明和１丁目,130.5228639,31.60098238
明和１丁目２９,明和１丁目,130.5246748,31.602964
明和１丁目３０,明和１丁目,130.5222014,31.60366845
明和１丁目３１,明和１丁目,130.5228731,31.60345993
明和１丁目３３,明和１丁目,130.5228139,31.60027451
明和１丁目３５,明和１丁目,130.5248461,31.5996884
明和１丁目３７,明和１丁目,130.5271509,31.59970535
明和１丁目３８,明和１丁目,130.5263212,31.60028584
明和１丁目４１,明和１丁目,130.5247894,31.6006296
明和１丁目４２,明和１丁目,130.5255138,31.6006578
明和１丁目４３,明和１丁目,130.5265846,31.60066909
明和１丁目４５,明和１丁目,130.5272167,31.60168921
明和１丁目４６,明和１丁目,130.5282177,31.60106927
明和１丁目４７,明和１丁目,130.5277897,31.60083255
明和２丁目１,明和２丁目,130.5174777,31.60392411
明和２丁目２,明和２丁目,130.5173987,31.60342815
明和２丁目３,明和２丁目,130.5176555,31.60312945
明和２丁目４,明和２丁目,130.5177872,31.60122678
明和２丁目６,明和２丁目,130.5174316,31.60075337
明和２丁目７,明和２丁目,130.5176753,31.60082663
明和２丁目８,明和２丁目,130.5179584,31.59999252
明和２丁目１１,明和２丁目,130.5213009,31.59931055
明和２丁目１５,明和２丁目,130.5195586,31.59969155
明和２丁目１５,明和２丁目,130.519552,31.59968592
明和２丁目１６,明和２丁目,130.5191767,31.59984373
明和２丁目１７,明和２丁目,130.5187552,31.59981555
明和２丁目１８,明和２丁目,130.5184457,31.60000717
明和２丁目２０,明和２丁目,130.5196771,31.60085593
明和２丁目２２,明和２丁目,130.5193412,31.60186813
明和２丁目２３,明和２丁目,130.5199076,31.60281834
明和２丁目２４,明和２丁目,130.5194927,31.6031565
明和２丁目２８,明和２丁目,130.5181823,31.60152999
明和２丁目２９,明和２丁目,130.5181099,31.60215332
明和２丁目３０,明和２丁目,130.5168513,31.60126967
明和２丁目３５,明和２丁目,130.5176192,31.59847314
明和２丁目３６,明和２丁目,130.5171714,31.598135
明和２丁目３７,明和２丁目,130.5166578,31.59744743
明和２丁目３８,明和２丁目,130.5171253,31.59773485
明和２丁目３９,明和２丁目,130.5178035,31.59813499
明和２丁目４０,明和２丁目,130.5188373,31.59867039
明和２丁目４２,明和２丁目,130.5185213,31.5980279
明和２丁目４３,明和２丁目,130.5180867,31.59734033
明和２丁目４８,明和２丁目,130.516712,31.59635039
明和２丁目４９,明和２丁目,130.5163565,31.59573608
新照院町２,新照院町,130.5434077,31.59375972
新照院町３,新照院町,130.5429007,31.59452617
新照院町１６,新照院町,130.5436579,31.59384427
新照院町１５,新照院町,130.5435328,31.5941317
新照院町１４,新照院町,130.544843,31.59558019
新照院町１７,新照院町,130.5454817,31.59594093
新照院町１２,新照院町,130.5448496,31.59634105
新照院町１３,新照院町,130.5463772,31.59742887
新照院町１１,新照院町,130.5440331,31.59568724
新照院町１０,新照院町,130.543131,31.59516304
新照院町４,新照院町,130.5415703,31.59654942
新照院町８,新照院町,130.5404375,31.59896157
新照院町6,新照院町,130.5402005,31.59883757
平之町１８,平之町,130.5456401,31.59052487
平之町６,平之町,130.5464104,31.59192261
平之町１０,平之町,130.5468055,31.59081802
平之町１７,平之町,130.5446984,31.59184924
平之町４,平之町,130.5472663,31.59231718
平之町３,平之町,130.5472334,31.59275677
平之町１,平之町,130.5453963,31.59253685
平之町９,平之町,130.5481947,31.59146623
平之町７,平之町,130.5478721,31.59191707
平之町８,平之町,130.548175,31.59211434
平之町１３,平之町,130.5473454,31.59035029
平之町１４,平之町,130.5486227,31.5909703
平之町１６,平之町,130.547543,31.58986562
西千石町２５,西千石町,130.5459995,31.58825117
西千石町２４,西千石町,130.5469871,31.58864012
西千石町２６,西千石町,130.5473558,31.58808784
西千石町２７,西千石町,130.5472044,31.58700012
西千石町８,西千石町,130.5468422,31.58939531
西千石町７,西千石町,130.5480141,31.58995334
西千石町９,西千石町,130.5482907,31.58949686
西千石町１０,西千石町,130.547843,31.5892883
西千石町１５,西千石町,130.5478957,31.58856692
西千石町１７,西千石町,130.5488109,31.58843736
西千石町２２,西千石町,130.5478957,31.58767647
西千石町２１,西千石町,130.5487253,31.58774415
西千石町２０,西千石町,130.5493639,31.58810488
西千石町５,西千石町,130.5497391,31.59023523
西千石町１４,西千石町,130.5495087,31.58943494
西千石町１６,西千石町,130.5503317,31.58941244
西千石町１８,西千石町,130.5502725,31.58909684
西千石町１,西千石町,130.5512864,31.59024096
西千石町３,西千石町,130.5504634,31.58959843
西千石町４,西千石町,130.5515564,31.58917582
魚見町１,魚見町,130.5156472,31.54442301
魚見町２,魚見町,130.5158973,31.54477242
魚見町５,魚見町,130.5176347,31.54436664
魚見町７,魚見町,130.5178585,31.54263085
魚見町９,魚見町,130.5194906,31.54321695
魚見町１０,魚見町,130.5195827,31.54287881
魚見町１２,魚見町,130.5207015,31.54314931
魚見町１６,魚見町,130.5259633,31.54064427
魚見町１８,魚見町,130.5253579,31.53922407
宇宿一丁目２７,宇宿一丁目,130.5386973,31.5461146
宇宿一丁目３５,宇宿一丁目,130.5398081,31.54555866
宇宿一丁目４０,宇宿一丁目,130.5402358,31.54529943
宇宿一丁目３３,宇宿一丁目,130.5401042,31.54644121
宇宿一丁目４５,宇宿一丁目,130.5414928,31.54659905
宇宿一丁目９,宇宿一丁目,130.5412888,31.54735987
宇宿一丁目１４,宇宿一丁目,130.5410255,31.54820521
宇宿一丁目２,宇宿一丁目,130.5424208,31.5475966
宇宿一丁目７,宇宿一丁目,130.5421575,31.5488263
宇宿一丁目１５,宇宿一丁目,130.5415783,31.54908552
宇宿一丁目１７,宇宿一丁目,130.5416689,31.54973731
宇宿一丁目６,宇宿一丁目,130.5424324,31.54930902
宇宿一丁目３,宇宿一丁目,130.5430313,31.54939358
宇宿一丁目２１,宇宿一丁目,130.5420243,31.55096365
宇宿一丁目１８,宇宿一丁目,130.5430708,31.55043393
宇宿一丁目２０,宇宿一丁目,130.5432616,31.55205138
宇宿一丁目４,宇宿一丁目,130.5436696,31.55193305
宇宿二丁目３,宇宿二丁目,130.5409113,31.54204569
宇宿二丁目４,宇宿二丁目,130.5402532,31.54194423
宇宿二丁目６,宇宿二丁目,130.5387001,31.54129044
宇宿二丁目１０,宇宿二丁目,130.5378118,31.54059159
宇宿二丁目８,宇宿二丁目,130.5398847,31.54011825
宇宿二丁目９,宇宿二丁目,130.5402336,31.53765996
宇宿三丁目１８,宇宿三丁目,130.5388711,31.54263401
宇宿三丁目１５,宇宿三丁目,130.5382393,31.54289323
宇宿三丁目１４,宇宿三丁目,130.5379037,31.54244236
宇宿三丁目１２,宇宿三丁目,130.5373575,31.54359203
宇宿三丁目９,宇宿三丁目,130.5370942,31.54416123
宇宿三丁目３５,宇宿三丁目,130.5352384,31.54291231
宇宿三丁目２８,宇宿三丁目,130.5364362,31.54181
宇宿三丁目２７,宇宿三丁目,130.5373773,31.54170295
宇宿三丁目２６,宇宿三丁目,130.5367324,31.54098719
宇宿四丁目７,宇宿四丁目,130.5371195,31.54528514
